,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
671,0,1,0.0,31.0,1,0,52.0,0.0
672,0,2,0.0,70.0,0,0,10.5,0.0
673,1,2,0.0,31.0,0,0,13.0,0.0
675,0,3,0.0,18.0,0,0,7.775,0.0
676,0,3,0.0,24.5,0,0,8.05,0.0
677,1,3,1.0,18.0,0,0,9.8417,0.0
678,0,3,1.0,43.0,1,6,46.9,0.0
679,1,1,0.0,36.0,0,1,512.3292,1.0
681,1,1,0.0,27.0,0,0,76.7292,1.0
682,0,3,0.0,20.0,0,0,9.225,0.0
683,0,3,0.0,14.0,5,2,46.9,0.0
684,0,2,0.0,60.0,1,1,39.0,0.0
685,0,2,0.0,25.0,1,2,41.5792,1.0
686,0,3,0.0,14.0,4,1,39.6875,0.0
687,0,3,0.0,19.0,0,0,10.1708,0.0
688,0,3,0.0,18.0,0,0,7.7958,0.0
689,1,1,1.0,15.0,0,1,211.3375,0.0
690,1,1,0.0,31.0,1,0,57.0,0.0
691,1,3,1.0,4.0,0,1,13.4167,1.0
693,0,3,0.0,25.0,0,0,7.225,1.0
694,0,1,0.0,60.0,0,0,26.55,0.0
695,0,2,0.0,52.0,0,0,13.5,0.0
696,0,3,0.0,44.0,0,0,8.05,0.0
698,0,1,0.0,49.0,1,1,110.8833,1.0
699,0,3,0.0,42.0,0,0,7.65,0.0
700,1,1,1.0,18.0,1,0,227.525,1.0
701,1,1,0.0,35.0,0,0,26.2875,0.0
702,0,3,1.0,18.0,0,1,14.4542,1.0
703,0,3,0.0,25.0,0,0,7.7417,2.0
704,0,3,0.0,26.0,1,0,7.8542,0.0
705,0,2,0.0,39.0,0,0,26.0,0.0
706,1,2,1.0,45.0,0,0,13.5,0.0
707,1,1,0.0,42.0,0,0,26.2875,0.0
708,1,1,1.0,22.0,0,0,151.55,0.0
710,1,1,1.0,24.0,0,0,49.5042,1.0
712,1,1,0.0,48.0,1,0,52.0,0.0
713,0,3,0.0,29.0,0,0,9.4833,0.0
714,0,2,0.0,52.0,0,0,13.0,0.0
715,0,3,0.0,19.0,0,0,7.65,0.0
716,1,1,1.0,38.0,0,0,227.525,1.0
717,1,2,1.0,27.0,0,0,10.5,0.0
719,0,3,0.0,33.0,0,0,7.775,0.0
720,1,2,1.0,6.0,0,1,33.0,0.0
721,0,3,0.0,17.0,1,0,7.0542,0.0
722,0,2,0.0,34.0,0,0,13.0,0.0
723,0,2,0.0,50.0,0,0,13.0,0.0
724,1,1,0.0,27.0,1,0,53.1,0.0
725,0,3,0.0,20.0,0,0,8.6625,0.0
726,1,2,1.0,30.0,3,0,21.0,0.0
728,0,2,0.0,25.0,1,0,26.0,0.0
729,0,3,1.0,25.0,1,0,7.925,0.0
730,1,1,1.0,29.0,0,0,211.3375,0.0
731,0,3,0.0,11.0,0,0,18.7875,1.0
733,0,2,0.0,23.0,0,0,13.0,0.0
734,0,2,0.0,23.0,0,0,13.0,0.0
735,0,3,0.0,28.5,0,0,16.1,0.0
736,0,3,1.0,48.0,1,3,34.375,0.0
737,1,1,0.0,35.0,0,0,512.3292,1.0
741,0,1,0.0,36.0,1,0,78.85,0.0
742,1,1,1.0,21.0,2,2,262.375,1.0
743,0,3,0.0,24.0,1,0,16.1,0.0
744,1,3,0.0,31.0,0,0,7.925,0.0
745,0,1,0.0,70.0,1,1,71.0,0.0
746,0,3,0.0,16.0,1,1,20.25,0.0
747,1,2,1.0,30.0,0,0,13.0,0.0
748,0,1,0.0,19.0,1,0,53.1,0.0
749,0,3,0.0,31.0,0,0,7.75,2.0
750,1,2,1.0,4.0,1,1,23.0,0.0
751,1,3,0.0,6.0,0,1,12.475,0.0
752,0,3,0.0,33.0,0,0,9.5,0.0
753,0,3,0.0,23.0,0,0,7.8958,0.0
754,1,2,1.0,48.0,1,2,65.0,0.0
755,1,2,0.0,0.67,1,1,14.5,0.0
756,0,3,0.0,28.0,0,0,7.7958,0.0
757,0,2,0.0,18.0,0,0,11.5,0.0
758,0,3,0.0,34.0,0,0,8.05,0.0
759,1,1,1.0,33.0,0,0,86.5,0.0
761,0,3,0.0,41.0,0,0,7.125,0.0
762,1,3,0.0,20.0,0,0,7.2292,1.0
763,1,1,1.0,36.0,1,2,120.0,0.0
764,0,3,0.0,16.0,0,0,7.775,0.0
765,1,1,1.0,51.0,1,0,77.9583,0.0
767,0,3,1.0,30.5,0,0,7.75,2.0
769,0,3,0.0,32.0,0,0,8.3625,0.0
770,0,3,0.0,24.0,0,0,9.5,0.0
771,0,3,0.0,48.0,0,0,7.8542,0.0
772,0,2,1.0,57.0,0,0,10.5,0.0
774,1,2,1.0,54.0,1,3,23.0,0.0
775,0,3,0.0,18.0,0,0,7.75,0.0
777,1,3,1.0,5.0,0,0,12.475,0.0
779,1,1,1.0,43.0,0,1,211.3375,0.0
780,1,3,1.0,13.0,0,0,7.2292,1.0
781,1,1,1.0,17.0,1,0,57.0,0.0
782,0,1,0.0,29.0,0,0,30.0,0.0
784,0,3,0.0,25.0,0,0,7.05,0.0
785,0,3,0.0,25.0,0,0,7.25,0.0
786,1,3,1.0,18.0,0,0,7.4958,0.0
787,0,3,0.0,8.0,4,1,29.125,2.0
788,1,3,0.0,1.0,1,2,20.575,0.0
789,0,1,0.0,46.0,0,0,79.2,1.0
791,0,2,0.0,16.0,0,0,26.0,0.0
794,0,3,0.0,25.0,0,0,7.8958,0.0
795,0,2,0.0,39.0,0,0,13.0,0.0
796,1,1,1.0,49.0,0,0,25.9292,0.0
797,1,3,1.0,31.0,0,0,8.6833,0.0
798,0,3,0.0,30.0,0,0,7.2292,1.0
799,0,3,1.0,30.0,1,1,24.15,0.0
800,0,2,0.0,34.0,0,0,13.0,0.0
801,1,2,1.0,31.0,1,1,26.25,0.0
802,1,1,0.0,11.0,1,2,120.0,0.0
803,1,3,0.0,0.42,0,1,8.5167,1.0
804,1,3,0.0,27.0,0,0,6.975,0.0
805,0,3,0.0,31.0,0,0,7.775,0.0
806,0,1,0.0,39.0,0,0,0.0,0.0
807,0,3,1.0,18.0,0,0,7.775,0.0
808,0,2,0.0,39.0,0,0,13.0,0.0
809,1,1,1.0,33.0,1,0,53.1,0.0
810,0,3,0.0,26.0,0,0,7.8875,0.0
811,0,3,0.0,39.0,0,0,24.15,0.0
812,0,2,0.0,35.0,0,0,10.5,0.0
813,0,3,1.0,6.0,4,2,31.275,0.0
814,0,3,0.0,30.5,0,0,8.05,0.0
816,0,3,1.0,23.0,0,0,7.925,0.0
817,0,2,0.0,31.0,1,1,37.0042,1.0
818,0,3,0.0,43.0,0,0,6.45,0.0
819,0,3,0.0,10.0,3,2,27.9,0.0
820,1,1,1.0,52.0,1,1,93.5,0.0
821,1,3,0.0,27.0,0,0,8.6625,0.0
822,0,1,0.0,38.0,0,0,0.0,0.0
823,1,3,1.0,27.0,0,1,12.475,0.0
824,0,3,0.0,2.0,4,1,39.6875,0.0
827,1,2,0.0,1.0,0,2,37.0042,1.0
830,1,3,1.0,15.0,1,0,14.4542,1.0
831,1,2,0.0,0.83,1,1,18.75,0.0
833,0,3,0.0,23.0,0,0,7.8542,0.0
834,0,3,0.0,18.0,0,0,8.3,0.0
835,1,1,1.0,39.0,1,1,83.1583,1.0
836,0,3,0.0,21.0,0,0,8.6625,0.0
838,1,3,0.0,32.0,0,0,56.4958,0.0
840,0,3,0.0,20.0,0,0,7.925,0.0
841,0,2,0.0,16.0,0,0,10.5,0.0
842,1,1,1.0,30.0,0,0,31.0,1.0
843,0,3,0.0,34.5,0,0,6.4375,1.0
844,0,3,0.0,17.0,0,0,8.6625,0.0
845,0,3,0.0,42.0,0,0,7.55,0.0
847,0,3,0.0,35.0,0,0,7.8958,1.0
848,0,2,0.0,28.0,0,1,33.0,0.0
850,0,3,0.0,4.0,4,2,31.275,0.0
851,0,3,0.0,74.0,0,0,7.775,0.0
852,0,3,1.0,9.0,1,1,15.2458,1.0
853,1,1,1.0,16.0,0,1,39.4,0.0
854,0,2,1.0,44.0,1,0,26.0,0.0
855,1,3,1.0,18.0,0,1,9.35,0.0
856,1,1,1.0,45.0,1,1,164.8667,0.0
857,1,1,0.0,51.0,0,0,26.55,0.0
858,1,3,1.0,24.0,0,3,19.2583,1.0
860,0,3,0.0,41.0,2,0,14.1083,0.0
861,0,2,0.0,21.0,1,0,11.5,0.0
862,1,1,1.0,48.0,0,0,25.9292,0.0
864,0,2,0.0,24.0,0,0,13.0,0.0
865,1,2,1.0,42.0,0,0,13.0,0.0
866,1,2,1.0,27.0,1,0,13.8583,1.0
867,0,1,0.0,31.0,0,0,50.4958,0.0
869,1,3,0.0,4.0,1,1,11.1333,0.0
870,0,3,0.0,26.0,0,0,7.8958,0.0
871,1,1,1.0,47.0,1,1,52.5542,0.0
872,0,1,0.0,33.0,0,0,5.0,0.0
873,0,3,0.0,47.0,0,0,9.0,0.0
874,1,2,1.0,28.0,1,0,24.0,1.0
875,1,3,1.0,15.0,0,0,7.225,1.0
876,0,3,0.0,20.0,0,0,9.8458,0.0
877,0,3,0.0,19.0,0,0,7.8958,0.0
879,1,1,1.0,56.0,0,1,83.1583,1.0
880,1,2,1.0,25.0,0,1,26.0,0.0
881,0,3,0.0,33.0,0,0,7.8958,0.0
882,0,3,1.0,22.0,0,0,10.5167,0.0
883,0,2,0.0,28.0,0,0,10.5,0.0
884,0,3,0.0,25.0,0,0,7.05,0.0
885,0,3,1.0,39.0,0,5,29.125,2.0
886,0,2,0.0,27.0,0,0,13.0,0.0
887,1,1,1.0,19.0,0,0,30.0,0.0
889,1,1,0.0,26.0,0,0,30.0,1.0
890,0,3,0.0,32.0,0,0,7.75,2.0
